2020-07-30 23:24:24.5971||DEBUG|JaiHoWebApi.Program|init main function |url: |action: 
2020-07-30 23:27:58.0068||INFO|JaiHoWebApi.Controllers.LoginController|LoginController.UserLogin method called! |url: http://localhost/Login|action: UserLogin
2020-07-30 23:29:10.5021||INFO|JaiHoWebApi.Controllers.LoginController|LoginController.UserLogin method called! |url: http://localhost/Login|action: UserLogin
2020-07-30 23:36:00.0048||DEBUG|JaiHoWebApi.Program|init main function |url: |action: 
2020-07-30 23:38:23.2100||DEBUG|JaiHoWebApi.Program|init main function |url: |action: 
2020-07-30 23:39:30.3083||INFO|JaiHoWebApi.Controllers.LoginController|LoginController.RegisterUser method called! |url: http://localhost/Register|action: RegisterUser
2020-07-30 23:43:48.4415||INFO|JaiHoWebApi.Controllers.LoginController|LoginController.ChangePassword method called! |url: http://localhost/ChangePassword|action: ChangePassword
2020-07-30 23:44:48.4286||INFO|JaiHoWebApi.Controllers.LoginController|LoginController.ChangePassword method called! |url: http://localhost/ChangePassword|action: ChangePassword
2020-07-30 23:52:49.5407||DEBUG|JaiHoWebApi.Program|init main function |url: |action: 
2020-07-30 23:54:05.5103||DEBUG|JaiHoWebApi.Program|init main function |url: |action: 
2020-07-30 23:54:30.8354||INFO|JaiHoWebApi.Controllers.LoginController|LoginController.ChangePassword method called! |url: http://localhost/ChangePassword|action: ChangePassword
2020-07-30 23:56:53.9409||DEBUG|JaiHoWebApi.Program|init main function |url: |action: 
2020-07-30 23:57:17.4288||INFO|JaiHoWebApi.Controllers.LoginController|LoginController.ChangePassword method called! |url: http://localhost/ChangePassword|action: ChangePassword
